format	width	quality	size	dssim	filename
jpeg	300	77	36338	0.00167318	./quality-samples/sample1.jpg
jpeg	300	78	37375	0.00159695	./quality-samples/sample1.jpg
jpeg	300	74	35132	0.00247684	./quality-samples/sample3.jpg
jpeg	300	72	33391	0.00270099	./quality-samples/sample3.jpg
jpeg	300	75	35446	0.00243242	./quality-samples/sample3.jpg
jpeg	300	71	32853	0.00277132	./quality-samples/sample3.jpg
jpeg	300	73	34145	0.00260272	./quality-samples/sample3.jpg
jpeg	300	89	42058	0.00096419	./quality-samples/sample0.jpg
jpeg	300	90	43268	0.00087292	./quality-samples/sample0.jpg
jpeg	300	88	41273	0.00102832	./quality-samples/sample0.jpg
jpeg	300	86	39706	0.00118847	./quality-samples/sample0.jpg
jpeg	300	87	40316	0.00112926	./quality-samples/sample0.jpg
jpeg	300	89	25651	0.00064877	./quality-samples/sample2.jpg
jpeg	300	87	23502	0.00075012	./quality-samples/sample2.jpg
jpeg	300	86	22785	0.00080026	./quality-samples/sample2.jpg
jpeg	300	84	44584	0.00116009	./quality-samples/sample1.jpg
jpeg	300	90	27371	0.00057115	./quality-samples/sample2.jpg
jpeg	300	81	40529	0.00138656	./quality-samples/sample1.jpg
jpeg	300	88	24836	0.00069291	./quality-samples/sample2.jpg
jpeg	300	85	45983	0.00107976	./quality-samples/sample1.jpg
jpeg	300	83	43260	0.00123206	./quality-samples/sample1.jpg
jpeg	300	82	41693	0.00131928	./quality-samples/sample1.jpg
